dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild,auc_ci_lo,auc_ci_hi,mrr_ci_lo,mrr_ci_hi,ndcg5_ci_lo,ndcg5_ci_hi,ndcg10_ci_lo,ndcg10_ci_hi
MIND,baseline,all,0.59251,0.310459,0.295222,0.359009,15.548776,0.021107,0.654862,0.583572,0.600199,0.301951,0.319593,0.285222,0.305828,0.34946,0.368002
MIND,baseline,cold,0.546152,0.307576,0.297236,0.365853,15.445957,0.009734,0.770401,0.525568,0.565785,0.286576,0.326423,0.273022,0.319924,0.342849,0.386582
MIND,baseline,warm,0.602439,0.311076,0.29479,0.357543,15.564843,0.02005,0.631206,0.59247,0.611277,0.301776,0.320566,0.284401,0.305379,0.348441,0.366827
MIND,baseline,head,0.607494,0.495792,0.514315,0.566488,11.851539,0.005534,0.84732,0.592689,0.622772,0.479486,0.511231,0.498264,0.530779,0.552076,0.581408
MIND,baseline,tail,0.588718,0.347439,0.340001,0.402217,16.968296,0.01818,0.677888,0.578992,0.597932,0.3369,0.358298,0.328199,0.351113,0.391806,0.414475
EBNERD_SMALL,baseline,all,0.681755,0.445978,0.50461,0.557489,16.910396,0.068618,0.768332,0.673507,0.690139,0.436511,0.454384,0.494446,0.513342,0.549327,0.564892
EBNERD_SMALL,baseline,cold,0.607416,0.39872,0.445799,0.521843,16.317849,0.008583,0.732509,0.492138,0.753465,0.276116,0.561232,0.302995,0.612162,0.410222,0.653237
EBNERD_SMALL,baseline,warm,0.682143,0.446225,0.504918,0.557675,16.913531,0.068184,0.768613,0.673725,0.690343,0.437293,0.454765,0.495278,0.514258,0.54976,0.565744
EBNERD_SMALL,baseline,head,0.645174,0.712579,0.762069,0.780316,8.872516,0.012586,0.719041,0.584507,0.706329,0.663082,0.759233,0.721582,0.803119,0.741404,0.815725
EBNERD_SMALL,baseline,tail,0.679252,0.453379,0.513207,0.566026,17.255241,0.059842,0.770935,0.670794,0.687851,0.44366,0.4617,0.502357,0.522315,0.557244,0.573415
