dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild,auc_ci_lo,auc_ci_hi,mrr_ci_lo,mrr_ci_hi,ndcg5_ci_lo,ndcg5_ci_hi,ndcg10_ci_lo,ndcg10_ci_hi
MIND,improved,all,0.66166,0.381972,0.364048,0.424729,15.182861,0.020264,0.788636,0.65314,0.669452,0.372429,0.39243,0.353643,0.37514,0.415474,0.434926
MIND,improved,cold,0.608351,0.361109,0.356419,0.416199,15.263204,0.009703,0.844651,0.58814,0.628881,0.339906,0.387514,0.333084,0.383792,0.393206,0.441536
MIND,improved,warm,0.673078,0.38644,0.365682,0.426556,15.167527,0.018946,0.776449,0.665027,0.681997,0.377375,0.397085,0.35406,0.378895,0.416588,0.437975
MIND,improved,head,0.650657,0.547482,0.560702,0.607247,11.799555,0.005365,0.883625,0.636647,0.664965,0.531875,0.56208,0.546888,0.576473,0.594526,0.621033
MIND,improved,tail,0.663817,0.416823,0.405723,0.467935,16.891116,0.018302,0.786238,0.654635,0.674142,0.404489,0.428922,0.392677,0.417948,0.456077,0.479091
EBNERD_SMALL,improved,all,0.681233,0.45173,0.509685,0.560385,16.924288,0.068377,0.773274,0.673504,0.689941,0.442825,0.46085,0.500818,0.518239,0.553083,0.568085
EBNERD_SMALL,improved,cold,0.588271,0.34449,0.391931,0.48066,16.427586,0.008535,0.732509,0.48159,0.719646,0.23433,0.483687,0.263259,0.539657,0.378466,0.599472
EBNERD_SMALL,improved,warm,0.681719,0.45229,0.5103,0.560802,16.92691,0.067943,0.773438,0.673443,0.689931,0.441828,0.460608,0.498888,0.518983,0.551333,0.567935
EBNERD_SMALL,improved,head,0.645658,0.712139,0.765856,0.781453,8.871767,0.012634,0.71917,0.574465,0.697039,0.664691,0.756702,0.724769,0.804295,0.745188,0.816759
EBNERD_SMALL,improved,tail,0.679056,0.460014,0.51969,0.569455,17.2577,0.059649,0.776151,0.671483,0.687957,0.450476,0.469369,0.510045,0.528806,0.56165,0.577635
