dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild,auc_ci_lo,auc_ci_hi,mrr_ci_lo,mrr_ci_hi,ndcg5_ci_lo,ndcg5_ci_hi,ndcg10_ci_lo,ndcg10_ci_hi
MIND,nrms,all,0.584234,0.312953,0.290769,0.353925,14.679237,0.013566,0.871267,0.575964,0.59188,0.304292,0.32199,0.281445,0.300489,0.345423,0.362472
MIND,nrms,cold,0.560036,0.317051,0.314287,0.370767,14.781867,0.006837,0.884309,0.54141,0.578685,0.295545,0.338306,0.290599,0.337887,0.35066,0.392627
MIND,nrms,warm,0.589416,0.312075,0.285731,0.350318,14.658232,0.012615,0.868473,0.580268,0.59792,0.302488,0.321306,0.276539,0.295564,0.341323,0.359931
MIND,nrms,head,0.588039,0.485415,0.505115,0.559729,11.674527,0.004553,0.896976,0.573028,0.601706,0.472749,0.499261,0.49041,0.521159,0.54754,0.57394
MIND,nrms,tail,0.590648,0.350576,0.33727,0.39924,16.915076,0.015221,0.860128,0.581129,0.601033,0.337823,0.363496,0.324045,0.35061,0.389075,0.412119
EBNERD_SMALL,nrms,all,0.559825,0.350939,0.3918,0.468611,16.741726,0.073537,0.797981,0.550767,0.569416,0.342695,0.358691,0.382618,0.401242,0.460884,0.476853
EBNERD_SMALL,nrms,cold,0.479009,0.246338,0.325609,0.371229,16.093542,0.008776,0.752167,0.338841,0.59535,0.170188,0.302681,0.211826,0.411707,0.272746,0.444239
EBNERD_SMALL,nrms,warm,0.560248,0.351486,0.392146,0.46912,16.745217,0.073151,0.798221,0.551471,0.567893,0.34269,0.359409,0.383171,0.401621,0.461092,0.476642
EBNERD_SMALL,nrms,head,0.590959,0.666727,0.73527,0.745734,8.870516,0.012682,0.718555,0.525963,0.648581,0.619211,0.711746,0.697598,0.773513,0.709989,0.781407
EBNERD_SMALL,nrms,tail,0.564822,0.367252,0.410903,0.486206,17.235409,0.063314,0.800962,0.55538,0.573851,0.359009,0.375799,0.400539,0.420237,0.478216,0.494758
