dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild,auc_ci_lo,auc_ci_hi,mrr_ci_lo,mrr_ci_hi,ndcg5_ci_lo,ndcg5_ci_hi,ndcg10_ci_lo,ndcg10_ci_hi
MIND,serving,all,0.662105,0.380182,0.362993,0.423339,15.193013,0.02054,0.784773,0.653726,0.669612,0.371025,0.390331,0.353505,0.374156,0.41458,0.433172
MIND,serving,cold,0.604475,0.356045,0.348688,0.408849,15.249464,0.009688,0.844047,0.584976,0.624324,0.334241,0.380689,0.32449,0.37385,0.387319,0.431917
MIND,serving,warm,0.674448,0.385352,0.366057,0.426442,15.182877,0.019237,0.77196,0.666371,0.682603,0.376481,0.395701,0.355293,0.378207,0.417378,0.43757
MIND,serving,head,0.650419,0.547094,0.561507,0.607972,11.801315,0.005365,0.882591,0.63642,0.665122,0.532632,0.562513,0.54649,0.576468,0.595992,0.622527
MIND,serving,tail,0.664991,0.417751,0.406075,0.468858,16.901389,0.018486,0.783163,0.65604,0.675384,0.406356,0.430174,0.393369,0.418518,0.457531,0.481421
EBNERD_SMALL,serving,all,0.681233,0.45173,0.509685,0.560385,16.924288,0.068377,0.773274,0.673504,0.689941,0.442825,0.46085,0.500818,0.518239,0.553083,0.568085
EBNERD_SMALL,serving,cold,0.588271,0.34449,0.391931,0.48066,16.427586,0.008535,0.732509,0.48159,0.719646,0.23433,0.483687,0.263259,0.539657,0.378466,0.599472
EBNERD_SMALL,serving,warm,0.681719,0.45229,0.5103,0.560802,16.92691,0.067943,0.773438,0.673443,0.689931,0.441828,0.460608,0.498888,0.518983,0.551333,0.567935
EBNERD_SMALL,serving,head,0.645658,0.712139,0.765856,0.781453,8.871767,0.012634,0.71917,0.574465,0.697039,0.664691,0.756702,0.724769,0.804295,0.745188,0.816759
EBNERD_SMALL,serving,tail,0.679056,0.460014,0.51969,0.569455,17.2577,0.059649,0.776151,0.671483,0.687957,0.450476,0.469369,0.510045,0.528806,0.56165,0.577635
