dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild,auc_ci_lo,auc_ci_hi,mrr_ci_lo,mrr_ci_hi,ndcg5_ci_lo,ndcg5_ci_hi,ndcg10_ci_lo,ndcg10_ci_hi
MIND,stage1,all,0.651434,0.366335,0.349976,0.40884,15.072678,0.019498,0.833062,0.64364,0.659179,0.357018,0.37671,0.340061,0.36179,0.400823,0.418677
MIND,stage1,cold,0.609702,0.350609,0.349683,0.404117,15.228482,0.009718,0.864631,0.590174,0.628898,0.331037,0.373177,0.326121,0.374915,0.383245,0.426758
MIND,stage1,warm,0.660372,0.369703,0.350039,0.409852,15.037405,0.018026,0.82608,0.650712,0.668649,0.360418,0.382373,0.339579,0.363114,0.400894,0.421889
MIND,stage1,head,0.635622,0.532915,0.546558,0.593007,11.775874,0.005319,0.893559,0.621254,0.650618,0.518295,0.548989,0.531467,0.562737,0.580231,0.607152
MIND,stage1,tail,0.657551,0.404913,0.395776,0.45686,16.861958,0.017904,0.818085,0.647355,0.666596,0.392501,0.41677,0.383218,0.40859,0.445001,0.468784
EBNERD_SMALL,stage1,all,0.491895,0.308246,0.338164,0.427217,16.680215,0.074549,0.798523,0.482661,0.50299,0.30054,0.316481,0.327492,0.347523,0.420009,0.435199
EBNERD_SMALL,stage1,cold,0.471377,0.309382,0.316465,0.388066,16.232552,0.00839,0.760714,0.362866,0.598003,0.221467,0.40283,0.204304,0.441882,0.289751,0.492731
EBNERD_SMALL,stage1,warm,0.492002,0.30824,0.338278,0.427422,16.682627,0.074212,0.798721,0.482578,0.500075,0.300548,0.315644,0.328977,0.347097,0.419079,0.434192
EBNERD_SMALL,stage1,head,0.550247,0.642601,0.700601,0.727186,8.871587,0.012682,0.718361,0.498783,0.612608,0.594029,0.691656,0.651567,0.742943,0.688439,0.766809
EBNERD_SMALL,stage1,tail,0.490721,0.317832,0.351946,0.439741,17.067596,0.064375,0.801953,0.481113,0.502094,0.309779,0.325786,0.341466,0.361307,0.43212,0.448131
