dataset,reference,variant,metric,ci_lo,ci_hi,excludes_zero,claim
MIND,baseline,improved,auc,0.061958,0.077897,True,adding the stage-1 semantic score beats behavioural features alone
MIND,baseline,improved,mrr,0.062999,0.081596,True,adding the stage-1 semantic score beats behavioural features alone
MIND,baseline,improved,ndcg5,0.061761,0.079174,True,adding the stage-1 semantic score beats behavioural features alone
MIND,baseline,improved,ndcg10,0.058483,0.074568,True,adding the stage-1 semantic score beats behavioural features alone
MIND,stage1,improved,auc,0.005904,0.014184,True,the two-stage reranker beats stage-1 retrieval on its own
MIND,stage1,improved,mrr,0.009356,0.021143,True,the two-stage reranker beats stage-1 retrieval on its own
MIND,stage1,improved,ndcg5,0.008535,0.018777,True,the two-stage reranker beats stage-1 retrieval on its own
MIND,stage1,improved,ndcg10,0.011187,0.019973,True,the two-stage reranker beats stage-1 retrieval on its own
MIND,nrms,improved,auc,0.06759,0.087445,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
MIND,nrms,improved,mrr,0.057808,0.07978,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
MIND,nrms,improved,ndcg5,0.062259,0.082743,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
MIND,nrms,improved,ndcg10,0.060023,0.079895,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
MIND,improved,serving,auc,-0.002363,0.002997,False,Q9: dropping features unavailable at serving time costs nothing
MIND,improved,serving,mrr,-0.004483,0.001197,False,Q9: dropping features unavailable at serving time costs nothing
MIND,improved,serving,ndcg5,-0.00377,0.001639,False,Q9: dropping features unavailable at serving time costs nothing
MIND,improved,serving,ndcg10,-0.003763,0.000851,False,Q9: dropping features unavailable at serving time costs nothing
EBNERD_SMALL,baseline,improved,auc,-0.005961,0.004975,False,adding the stage-1 semantic score beats behavioural features alone
EBNERD_SMALL,baseline,improved,mrr,-0.00199,0.012942,False,adding the stage-1 semantic score beats behavioural features alone
EBNERD_SMALL,baseline,improved,ndcg5,-0.002755,0.011668,False,adding the stage-1 semantic score beats behavioural features alone
EBNERD_SMALL,baseline,improved,ndcg10,-0.003377,0.008815,False,adding the stage-1 semantic score beats behavioural features alone
EBNERD_SMALL,stage1,improved,auc,0.176937,0.199917,True,the two-stage reranker beats stage-1 retrieval on its own
EBNERD_SMALL,stage1,improved,mrr,0.133163,0.152391,True,the two-stage reranker beats stage-1 retrieval on its own
EBNERD_SMALL,stage1,improved,ndcg5,0.160068,0.181494,True,the two-stage reranker beats stage-1 retrieval on its own
EBNERD_SMALL,stage1,improved,ndcg10,0.123601,0.140956,True,the two-stage reranker beats stage-1 retrieval on its own
EBNERD_SMALL,nrms,improved,auc,0.10901,0.133403,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
EBNERD_SMALL,nrms,improved,mrr,0.087287,0.110227,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
EBNERD_SMALL,nrms,improved,ndcg5,0.105162,0.12935,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
EBNERD_SMALL,nrms,improved,ndcg10,0.08148,0.101121,True,Q3: the two-stage reranker beats the reproduced NRMS baseline
EBNERD_SMALL,improved,serving,auc,0.0,0.0,False,Q9: dropping features unavailable at serving time costs nothing
EBNERD_SMALL,improved,serving,mrr,0.0,0.0,False,Q9: dropping features unavailable at serving time costs nothing
EBNERD_SMALL,improved,serving,ndcg5,0.0,0.0,False,Q9: dropping features unavailable at serving time costs nothing
EBNERD_SMALL,improved,serving,ndcg10,0.0,0.0,False,Q9: dropping features unavailable at serving time costs nothing
